kode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4,chart_link
SRK0141GS,Mahang,Macaranga spp,PohonMuda,icon/young_tree.svg,Endangered,12,8,13,Mineral,-,-0.0379195,101.4050117,62.118547692874,0.03582195991,,,,Adep,01/10/2021 15:20:00,50000,59.59482312,-,Approach 5,media/SRK_1_135.jpg,media/SRK_2_135.jpg,media/SRK_3_135.jpg,media/SRK_4_135.jpg,adopsipohonriau/135
SRK0142GS,Mahang,Macaranga spp,PohonMuda,icon/young_tree.svg,Endangered,10,10,13,Mineral,-,-0.0379168,101.4050879,61.908614027466,0.03589623905,,,,Adep,01/10/2021 15:23:00,50000,51.90759597,-,Approach 5,media/SRK_1_136.jpg,media/SRK_2_136.jpg,media/SRK_3_136.jpg,media/SRK_4_136.jpg,adopsipohonriau/136
SRK0201GS,Pasir Pasir,Guettarda speciosa,PohonMuda,icon/young_tree.svg,Least Concern,27,13,13,Mineral,-,-0.0387283,101.4046362,56.513137807651,0.03525545253,,,,Effendi,02/10/2021 08:00:00,50000,785.8690681,-,Approach 5,media/SRK_1_137.jpg,media/SRK_2_137.jpg,media/SRK_3_137.jpg,media/SRK_4_137.jpg,adopsipohonriau/137
SRK0202GS,Marsawa,Anisoptera Marginata,PohonDewasa,icon/mature_tree.svg,Vulnerable,40,13,13,Mineral,-,-0.0388944,101.4047343,58.717548778339,0.03531100077,,,,Effendi,02/10/2021 08:12:00,200000,1475.072387,-,Approach 5,media/SRK_1_138.jpg,media/SRK_2_138.jpg,media/SRK_3_138.jpg,media/SRK_4_138.jpg,adopsipohonriau/138
SRK0203GS,Rengas,Gluta aptera,PohonMuda,icon/young_tree.svg,-,19,9,13,Mineral,-,-0.0388595,101.4046519,78.931898615494,0.03523923349,,,,Effendi,02/10/2021 08:16:00,50000,272.1293104,-,Approach 5,media/SRK_1_139.jpg,media/SRK_2_139.jpg,media/SRK_3_139.jpg,media/SRK_4_139.jpg,adopsipohonriau/139
SRK0204GS,Pasir Pasir,Guettarda speciosa,PohonMuda,icon/young_tree.svg,Least Concern,35,15,13,Mineral,-,-0.0386867,101.4049517,66.03856650606,0.03557167479,,,,Hendri,02/10/2021 08:32:00,50000,1499.703162,-,Approach 5,media/SRK_1_140.jpg,media/SRK_2_140.jpg,media/SRK_3_140.jpg,media/SRK_4_140.jpg,adopsipohonriau/140
SRK0205GS,Medang,Alseodaphne sp,PohonMuda,icon/young_tree.svg,Vulnerable,15,10,13,Mineral,-,-0.038845,101.4047249,81.228668364152,0.03531358704,,,,Hendri,02/10/2021 08:55:00,50000,174.6130292,-,Approach 5,media/SRK_1_141.jpg,media/SRK_2_141.jpg,media/SRK_3_141.jpg,media/SRK_4_141.jpg,adopsipohonriau/141
SRK0206GS,Pasir Pasir,Guettarda speciosa,PohonMuda,icon/young_tree.svg,Least Concern,27,13,13,Mineral,-,-0.0390009,101.4047349,73.806335796929,0.035286547,,,,Hendri,02/10/2021 09:03:00,50000,785.8690681,-,Approach 5,media/SRK_1_142.jpg,media/SRK_2_142.jpg,media/SRK_3_142.jpg,media/SRK_4_142.jpg,adopsipohonriau/142
SRK0207GS,Sendok Sendok,Endospermum spp,PohonMuda,icon/young_tree.svg,Least Concern,30,13,13,Mineral,-,-0.0388897,101.4047821,72.920110905926,0.03535855684,,,,Hendri,02/10/2021 09:17:00,50000,545.9357394,-,Approach 5,media/SRK_1_143.jpg,media/SRK_2_143.jpg,media/SRK_3_143.jpg,media/SRK_4_143.jpg,adopsipohonriau/143
SRK0208GS,Mahang,Macaranga spp,PohonMuda,icon/young_tree.svg,Endangered,30,14,13,Mineral,-,-0.0388781,101.4048876,53.308556018971,0.03546381239,,,,Hendri,02/10/2021 09:45:00,50000,615.4497046,-,Approach 5,media/SRK_1_144.jpg,media/SRK_2_144.jpg,media/SRK_3_144.jpg,media/SRK_4_144.jpg,adopsipohonriau/144
