id,kode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4
56,SRK0058GS,Meranti,Shorea sp,Pohon Muda,icon/young_tree.svg,-,21,11,13,Mineral,-,-0.0385656,101.404556500000,"48,79929012","0,035",-,-,-,Mardianto,9/30/2021 9:08,50000,375.04,-,"Chave et al, 2014",media/SRK_3_56.jpg,media/SRK_2_56.jpg,media/SRK_1_56.jpg,media/SRK_4_56.jpg
57,SRK0059GS,Marsawa,Anisoptera Marginata,Pohon Dewasa,icon/mature_tree.svg,Vulnerable,47,18,13,Mineral,-,-0.0385785,101.404658600000,"55,65936979","0,035",-,-,-,Okta,9/30/2021 9:13,200000,2776.29,-,"Chave et al, 2014",media/SRK_3_57.jpg,media/SRK_2_57.jpg,media/SRK_1_57.jpg,media/SRK_4_57.jpg
58,SRK0060GS,Meranti,Shorea sp,Pohon Muda,icon/young_tree.svg,-,26,15,13,Mineral,-,-0.0388999,101.404521200000,"58,33715123","0,035",-,-,-,Mardianto,9/30/2021 9:21,50000,770.18,-,"Chave et al, 2014",media/SRK_3_58.jpg,media/SRK_2_58.jpg,media/SRK_1_58.jpg,media/SRK_4_58.jpg
59,SRK0061GS,Mahang,Macaranga spp,Pohon Dewasa,icon/mature_tree.svg,Endangered,51,23,13,Mineral,-,-0.0389178,101.404677000000,"50,60660234","0,035",-,-,-,Okta,9/30/2021 9:29,200000,2814.84,-,"Chave et al, 2014",media/SRK_3_59.jpg,media/SRK_2_59.jpg,media/SRK_1_59.jpg,media/SRK_4_59.jpg
60,SRK0062GS,Meranti,Shorea sp,Pohon Muda,icon/young_tree.svg,-,24,15,13,Mineral,-,-0.0388903,101.404686700000,"55,33612862","0,035",-,-,-,Mardianto,9/30/2021 9:34,50000,658.78,-,"Chave et al, 2014",media/SRK_3_60.jpg,media/SRK_2_60.jpg,media/SRK_1_60.jpg,media/SRK_4_60.jpg
61,SRK0063GS,Meranti,Shorea sp,Pohon Muda,icon/young_tree.svg,-,19,14,13,Mineral,-,-0.0388881,101.404642500000,"60,55723176","0,035",-,-,-,Okta,9/30/2021 9:38,50000,390.35,-,"Chave et al, 2014",media/SRK_3_61.jpg,media/SRK_2_61.jpg,media/SRK_1_61.jpg,media/SRK_4_61.jpg
62,SRK0064GS,Cempedak Hutan,Artocarpus heterophyllus,Pohon Muda,icon/young_tree.svg,-,30,17,13,Mineral,-,-0.038927,101.404604,"60,57409199","0,035",-,-,-,Mardianto,9/30/2021 9:44,50000,980.05,-,"Chave et al, 2014",media/SRK_3_62.jpg,media/SRK_2_62.jpg,media/SRK_1_62.jpg,media/SRK_4_62.jpg
63,SRK0065GS,Kelat,Eugenia spp,Pohon Muda,icon/young_tree.svg,Least Concern,15,10,13,Mineral,-,-0.0388204,101.404633800000,"58,1135167","0,035",-,-,-,Okta,9/30/2021 9:48,50000,214.82,-,"Chave et al, 2014",media/SRK_3_63.jpg,media/SRK_2_63.jpg,media/SRK_1_63.jpg,media/SRK_4_63.jpg
64,SRK0066GS,Meranti,Shorea sp,Pohon Muda,icon/young_tree.svg,-,18,13,13,Mineral,-,-0.0388981,101.404739800000,"43,9844113","0,035",-,-,-,Marsianto,9/30/2021 9:56,50000,326.74,-,"Chave et al, 2014",media/SRK_3_64.jpg,media/SRK_2_64.jpg,media/SRK_1_64.jpg,media/SRK_4_64.jpg
65,SRK0067GS,Cempedak Hutan,Artocarpus heterophyllus,Pohon Muda,icon/young_tree.svg,-,35,17,13,Mineral,-,-0.0389378,101.404778700000,"54,04918789","0,035",-,-,-,Okta,9/30/2021 10:01,50000,1324.12,-,"Chave et al, 2014",media/SRK_3_65.jpg,media/SRK_2_65.jpg,media/SRK_1_65.jpg,media/SRK_4_65.jpg
